,PPI,PPI_mop1,PPI_mop2,PPI_mop3,PPI_life,CCPI,export,PMI_raw,PPI_expectation,mop_price,HBR_25,South_China,brent,WTI,CRB,LME_AL,cement,coal,copper,indproduct
2020/11/30,0.6,1.8,0.4,1.5,-0.3,0.950784636,2.1,62.6,0.61,2.810282313,2.238333221,2.409624359,0.358452219,-0.421913242,2.825971236,4.286212928,-2.883411064,7.237743809,3.914413147,3.887779639
2020/12/31,1.1,2.6,0.8,3.2,0.4,6.864720884,0.6,68,0.77,3.10230428,3.007143884,5.080529339,6.81321938,6.097798237,2.352926538,4.386592788,-2.988675337,16.78521414,7.257923713,6.972278013
2021/1/31,0.7,0.8,1,1.4,0.2,2.616514295,0.5,67.1,0.98,2.020496268,5.255082684,4.352853142,12.06915848,12.08523107,1.419022121,-0.399150473,-0.47293519,37.96871483,4.253082283,3.178631743
2021/2/28,1.4,3.7,0.7,5.8,0,12.23957855,-3.1,66.7,1.18,2.513208845,3.800304345,9.589035263,25.70261093,26.03934054,6.127660783,10.16753548,-0.049454114,-50.21930335,16.64466582,11.32981463
2021/3/31,2.7,7.2,1.7,5.5,0.3,18.97937285,0.4,69.4,1.82,8.7455609,7.158078768,10.3091645,113.1868576,101.9133569,11.95752661,13.22122685,3.133343675,6.715663373,25.72555288,14.16712217
2021/4/30,2.4,5.1,2,12.6,0.2,15.71881184,-0.5,66.9,3,6.468374277,8.518377473,5.497824854,126.9886144,390.4706488,16.32720986,22.63009986,8.784298323,40.75883158,9.906845867,7.821827019
2021/5/31,2.2,3.6,2,11.5,0.2,-3.795669132,1.8,72.8,1.94,5.884465879,10.18136142,1.417530711,-111.3001175,-378.6667828,2.912201023,7.37038623,2.591954464,18.90341963,9.83463577,1.263112987
2021/6/30,-0.2,-0.8,0,-1.3,-0.2,-17.8207312,1.2,61.2,0.27,-2.128529013,-8.251537473,-6.370098867,-59.24945053,-44.43376058,3.183219246,-10.80680072,-3.209664471,18.90341963,-27.43515139,-7.852610183
2021/7/31,0.2,-0.1,0.1,3.6,0,-6.232033616,1.8,62.9,0.3,-0.022999066,1.827265467,-0.417501646,-9.317092961,-8.292517282,-0.68687255,-3.896207736,-1.645442733,18.90341963,-18.27574378,0.743948215
2021/8/31,0.5,0.4,0.5,3.1,0,-6.768571766,3.9,61.3,0.25,1.302255541,1.186643593,-4.859382999,-14.66061558,-17.87327953,-5.317953431,-1.110634104,2.455796318,8.815738945,-4.412165429,-3.731159415
2021/9/30,1.2,2.1,0.9,7.6,0.1,3.115000531,4.1,63.5,1.09,3.471591226,3.268461609,5.763085596,24.997457,20.51606972,-8.659065243,12.28803852,14.44490304,-8.764399516,-5.286815093,12.20346554
2021/10/31,2.8,5.3,1.9,17.1,0.2,8.010057816,-2.5,72.1,1.8,17.0137778,4.816486794,6.150201505,25.73389617,25.62719636,-0.153471266,0.872148745,18.7618877,-3.915359678,7.238799092,8.13811915
2021/11/30,-0.6,-0.7,-0.7,-6,0.4,-5.668788614,-0.6,52.9,0.08,-7.724915744,-18.74865017,-14.22848943,-17.22118088,-16.44535753,-2.093058712,-27.19522459,-7.419782835,-3.440283234,-7.898171589,-28.79107485
2021/12/31,-2.6,-5.3,-1.9,-16.3,0,-13.36706433,1.8,48.1,-1.18,-10.87312944,-6.12354636,-8.739388561,-42.68419841,-37.23257461,-4.57966098,-2.130185751,-12.08295396,-27.1710223,-14.9215278,-11.40252638
2022/1/31,-1.2,-1.5,-1.2,-9.2,-0.2,-0.008625532,0.2,56.4,-1.56,-4.690610968,-4.476764197,2.484082821,9.749020245,6.498567077,-2.528504886,14.87037819,-8.919195648,-29.14974989,-0.736288297,3.81419344
2022/2/28,-0.3,-0.3,-0.4,-2,0.1,-0.679374188,2.2,60,-0.49,-1.412995867,-1.148420523,1.491780527,-0.661076086,-3.86406146,-1.976454847,7.298304703,-1.519060519,64.33457181,-4.648032375,0.661916207
2022/3/31,-0.5,-1.2,-0.9,5,0,4.842739717,-0.6,66.1,-0.79,0.126508282,-3.193474687,11.30361232,23.30032851,18.64294843,-0.553466983,4.57398546,4.122606058,62.21279549,-4.0974753,9.562760441
2022/4/30,-0.3,0.7,-0.9,0.3,0.1,1.162698051,-2.2,64.2,-0.21,-2.39795174,-3.160558794,0.327747529,-19.42139119,-8.951344578,-2.662274913,-21.26416603,-6.09327383,-76.38444913,-4.421306863,-1.132043181
2022/5/31,-1.6,-2.3,-1.6,-8.6,0.2,-2.311589866,0.7,55.8,-1.49,-7.785833934,-10.45960835,-8.239315268,2.713857156,2.984522376,-6.020009486,-23.66303967,-7.825040894,-17.61613439,-17.20018377,-9.593744136
2022/6/30,-0.3,0.1,-0.8,-2.4,0.5,1.735718425,6.1,52,-0.25,0.490442633,0.451960055,-1.228417142,4.47109158,-8.814771689,-5.971902122,-11.06199692,-4.482509109,-17.61613439,2.142327595,-0.815277179
2022/7/31,-1.9,-3.8,-1.5,-8.5,0,-6.043394956,-1.4,40.4,-1.33,-9.08958207,-9.719001487,-17.9113004,-18.76940993,-21.55229142,-7.320603464,-8.969608605,2.343491404,-17.61613439,-14.71974383,-17.29822733
2022/8/31,-1.9,-3.6,-1.6,-8.7,-0.1,-0.282359587,-1.6,44.3,-1.72,-4.643395381,-1.000936319,6.139637632,-9.38016578,-2.380230681,0.843533573,-3.425059515,-2.725954463,-2.330200291,5.466089292,5.254427356
2022/9/30,-1.4,-2,-1.2,-6.6,0.2,-2.611148462,0.4,51.3,-1.89,-3.751547643,-3.918091638,-2.706289607,-20.67888336,-17.79547483,-2.287960868,-14.64411199,-12.49211606,25.11748909,-2.170624285,-5.155551604
